mt_id,project_asv_id,project_sample_id,image_id,class,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,db_id,institution_code,ncbi_species,ncbi_id_rank,ncbi_taxid,locality,subregion,country,latitude,longitude,authors,genbank_accession,contigname,run_id,mmg_library_id,projectname,chimera_notes,variant_status,metadata_source,specimen_id,morphospecies,lowest_taxon,taxonomy_notes,collection_method,collection_method_category,collection_method_notes,plotid,province_state_territory,habitat
GBDL01133,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,,,,,Coleoptera sp. 1 KM-2017,NA,NA,,NA,NA,NA,Barro Colorado Island,NA,Panama,NA,NA,K Miller,MG193330,MG193330,NA,,Panama Canopy,,unconsidered species duplicate,,NA,,Coleoptera sp. 1 KM-2017,,Vein_Trap,Passive,Field trap,,,
GBDL01250,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,Elateridae sp. GENSP01,NA,NA,BMNH,NA,NA,NA,,NA,South Africa,NA,NA,MJTN Timmermans,JX412817,JX412817,NA,,Mitogenomics Coleoptera,,,,838123,,Elateridae sp. GENSP01,,,,,,,
GBDL01291,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Drilini,,Drilus,,Drilus flavescens,NA,NA,BMNH,NA,NA,NA,Wied Babu,NA,Malta,NA,NA,MJTN Timmermans,HQ232815,HQ232815,NA,LR-PCR,WhyBarcode,,,Nucleic Acids Res. 38 (21) E197 (2010),840459,,Drilus flavescens,,,,,,,
GBDL01372,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Cardiophorinae,,,Dicronychus,,Dicronychus sp. DIC01,NA,NA,BMNH,NA,NA,NA,,NA,Slovakia,NA,NA,MJTN Timmermans,JX412848,JX412848,NA,,Mitogenomics Coleoptera,,nonrepresentative conspecific,,844235,,Dicronychus sp. DIC01,,,,,,,
GBDL01401,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,,Agriotes ustulatus,NA,NA,BMNH,NA,NA,NA,,NA,Czech Republic,NA,NA,MJTN Timmermans,JX412737,JX412737,NA,,Mitogenomics Coleoptera,,,,842673,,Agriotes ustulatus,,,,,,,
GBDL01517,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Elaterini,,Sericus,,Sericus brunneus,NA,NA,,NA,NA,NA,,NA,,NA,NA,A. Hunter and J Moriniere,KX087344,KX087344,NA,,German Barcoding,,,,NA,,Sericus brunneus,,,,,,,
GBDL01541,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Melanotinae,Melanotini,,Melanotus,,Melanotus villosus,NA,NA,,NA,NA,NA,,NA,,NA,NA,A. Hunter and J Moriniere,KX087314,KX087314,NA,,German Barcoding,,nonrepresentative conspecific,,NA,,Melanotus villosus,,,,,,,
GBDL01544,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,Elateroidea sp. 4 KM-2017,NA,NA,,NA,NA,NA,Barro Colorado Island,NA,Panama,NA,NA,K Miller,MG193366,MG193366,NA,,Panama Canopy,,,,NA,,Elateroidea sp. 4 KM-2017,,Vein_Trap,Passive,Field trap,,,
GBDL01560,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Dendrometrinae,Dendrometrini,Dendrometrina,Pheletes,,Pheletes quercus,NA,NA,,NA,NA,NA,,NA,,NA,NA,A. Hunter and J Moriniere,KX087332,KX087332,NA,,German Barcoding,,,,NA,,Pheletes quercus,,,,,,,
GBDL01581,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,Coleoptera sp. ACP-2013,NA,NA,,NA,NA,NA,Danum Valley,NA,Malaysia,NA,NA,A Crampton Platt,MH940203,MH940203,NA,,Soup to Tree,,unconsidered species duplicate,,NA,,Elateridae,was Coleoptera sp. ACP-2013,Canopy_Fogging,Active,,,Sabah,
GBDL01591,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Negastriinae,Negastriini,,Negastrius,,Negastrius sabulicola,NA,NA,,NA,NA,NA,,NA,,NA,NA,A. Hunter and J Moriniere,KX087320,KX087320,NA,,German Barcoding,,,,NA,,Negastrius sabulicola,,,,,,,
GBDL01600,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,Coleoptera sp. ACP-2013,NA,NA,,NA,NA,NA,Danum Valley,NA,Malaysia,NA,NA,A Crampton Platt,MH940206,MH940206,NA,,Soup to Tree,,unconsidered species duplicate,,NA,,Elateridae,was Coleoptera sp. ACP-2013,Canopy_Fogging,Active,,,Sabah,
GBDL01630,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,Elateridae sp. 1 ACP-2013,NA,NA,BMNH,NA,NA,NA,Danum Valley,NA,Malaysia,NA,NA,A Crampton Platt,MH940175,MH940175,NA,,Soup to Tree,,,,1040423,,Elateridae sp. 1 ACP-2013,,Canopy_Fogging,Active,,,Sabah,
GBDL01791,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Pyrophorini,,Pyrophorus,,Pyrophorus divergens,NA,NA,,NA,NA,NA,Campinas,NA,Brazil,-22.745833,-47.109167,Arnoldi F.G. and Ogoh K. and Ohmiya Y. and Viviani V.R. and Arnoldi F.G.C.,EF398270,EF398270,NA,,,,unconsidered species duplicate,Gene 405 (1-2) pages 1-9 (2007),NA,,Pyrophorus divergens,,,,,,Sao Paulo,
GBDL01841,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Pyrophorini,,Hapsodrilus,,Hapsodrilus ignifer,NA,NA,,NA,NA,NA,Fazenda Santana; Campinas,NA,Brazil,-22.745833,-47.109167,Amaral D.T. and Mitani Y. and Ohmiya Y. and Viviani V.R.,KJ922149,KJ922149,NA,,,,unconsidered species duplicate,Gene (2016) In press,NA,,Hapsodrilus ignifer,,,,,,Sao Paulo,
GBDL01842,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Pyrophorini,,Pyrearinus,,Pyrearinus termitilluminans,NA,NA,,NA,NA,NA,Parque Nacional das Emas; Mineiros,NA,Brazil,-18.083333,-52.916669,Amaral D.T. and Mitani Y. and Ohmiya Y. and Viviani V.R.,KJ922150,KJ922150,NA,,,,unconsidered species duplicate,Gene (2016) In press,NA,,Pyrearinus termitilluminans,,,,,,Goias,
GBDL01887,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Dendrometrinae,Denticollinae,,Limonius,,Limonius californicus,NA,NA,,NA,NA,NA,Aberdeen,NA,USA,NA,NA,Gerritsen A.T. and New D.D. and Robison B.D. and Rashed A. and Hohenlohe P. and Forney L. and Rashidi M. and Wilson C.M. and Settles M.L.,KT852377,KT852377,NA,,,,unconsidered species duplicate,Genome Announc 4 (1) e01628-15 (2016),NA,,Limonius californicus,,,,,,Idaho,
